,YEAR,WEEK,RANK,PLAYER,ATT,RUSH YDS,Y/A,LG,20+,RUSH TD,REC,TGT,REC YDS,Y/R,REC TD,FL,G,Zero PPR,Half PPR,One PPR,Unnamed: 20
158,2022,6,20,Devin Singletary (BUF) ,17,85,5,14,0,0,4,5,22,5.5,0,0,1,10.7,12.7,14.7,0
157,2022,6,19,Travis Etienne Jr. (JAC) ,10,86,8.6,48,4,0,2,2,22,11,0,0,1,10.8,11.8,12.8,0
1172,2021,13,15,Miles Sanders (PHI) ,24,120,5,34,2,0,3,3,22,7.3,0,0,1,14.2,15.7,17.2,0
2183,2020,14,8,Cam Akers (LAR) ,29,85,5.9,35,3,0,2,3,23,11.5,0,0,1,19.4,20.4,21.4,0
351,2022,3,53,Nyheim Hines (BUF) ,3,7,2.3,7,0,0,5,6,23,4.6,0,0,1,3,5.5,8,0
2217,2020,14,54,Adrian Peterson (FA) ,4,7,1.8,3,0,0,1,1,23,23,0,0,1,3,3.5,4,0
1139,2021,12,43,Nick Chubb (CLE) ,8,16,2,5,0,0,2,4,23,11.5,0,0,1,3.9,4.9,5.9,0
79,2022,8,44,Eno Benjamin (ARI) ,9,22,2.4,7,0,0,4,7,23,5.8,0,0,1,4.5,6.5,8.5,0
1615,2020,3,23,David Johnson (FA) ,13,23,1.8,5,0,1,2,3,23,11.5,0,0,1,10.6,11.6,12.6,0
1904,2020,8,54,Ronald Jones II (KC) ,7,23,3.3,5,0,0,4,4,23,5.8,0,1,1,2.6,4.6,6.6,0
62,2022,8,21,Melvin Gordon III (DEN) ,9,29,3.2,9,0,1,3,4,23,7.7,0,0,1,11.2,12.7,14.2,0
1503,2020,1,43,Devontae Booker (FA) ,4,29,7.3,15,0,0,3,3,23,7.7,0,0,1,5.2,6.7,8.2,0
1502,2020,1,41,Devin Singletary (BUF) ,9,30,3.3,12,0,0,5,7,23,4.6,0,0,1,5.3,7.8,10.3,0
955,2021,9,21,Myles Gaskin (MIA) ,20,34,1.7,6,0,1,6,6,23,3.8,0,1,1,9.7,12.7,15.7,0
1736,2020,5,32,Latavius Murray (DEN) ,8,34,4.3,8,0,0,2,2,23,11.5,0,0,1,5.7,6.7,7.7,0
1019,2021,10,34,Devonta Freeman (FA) ,10,35,3.5,12,0,0,3,4,23,7.7,0,0,1,5.8,7.3,8.8,0
2147,2020,13,33,Sony Michel (LAC) ,10,35,3.5,10,0,0,1,1,23,23,0,0,1,5.8,6.3,6.8,0
153,2022,6,13,Joe Mixon (CIN) ,8,45,5.6,10,0,0,4,6,23,5.8,1,0,1,12.8,14.8,16.8,0
2306,2020,16,16,Austin Ekeler (LAC) ,10,45,4.5,23,1,0,3,3,23,7.7,1,0,1,12.8,14.3,15.8,0
2375,2020,17,37,Ty Johnson (NYJ) ,11,45,4.1,9,0,0,2,2,23,11.5,0,0,1,6.8,7.8,8.8,0
508,2021,1,33,Mike Davis (BAL) ,15,49,3.3,12,0,0,3,6,23,7.7,0,0,1,7.2,8.7,10.2,0
803,2021,6,28,Melvin Gordon III (DEN) ,10,50,5,10,0,0,3,3,23,7.7,0,0,1,7.3,8.8,10.3,0
906,2021,8,30,Ezekiel Elliott (DAL) ,16,50,3.1,8,0,0,4,6,23,5.8,0,0,1,7.3,9.3,11.3,0
841,2021,7,13,Samaje Perine (CIN) ,11,52,4.7,46,3,1,1,1,23,23,0,0,1,13.5,14,14.5,0
51,2022,8,9,Jamaal Williams (DET) ,10,53,5.3,15,0,2,3,3,23,7.7,0,0,1,19.6,21.1,22.6,0
963,2021,9,30,Austin Ekeler (LAC) ,17,59,3.5,16,0,0,3,3,23,7.7,0,0,1,8.2,9.7,11.2,0
1263,2021,15,8,Austin Ekeler (LAC) ,12,59,4.9,15,0,1,4,4,23,5.8,0,0,1,14.2,16.2,18.2,0
1282,2021,15,33,David Montgomery (CHI) ,18,60,3.3,16,0,0,5,6,23,4.6,0,1,1,6.3,8.8,11.3,0
