,YEAR,WEEK,RANK,PLAYER,ATT,RUSH YDS,Y/A,LG,20+,RUSH TD,REC,TGT,REC YDS,Y/R,REC TD,FL,G,Zero PPR,Half PPR,One PPR,Unnamed: 20
55,2022,8,14,Miles Sanders (PHI) ,9,78,8.7,21,1,1,0,0,0,0,0,0,1,13.8,13.8,13.8,0
218,2022,5,33,Ezekiel Elliott (DAL) ,22,78,3.5,12,0,0,0,0,0,0,0,0,1,7.8,7.8,7.8,0
904,2021,8,28,AJ Dillon (GB) ,16,78,4.9,12,0,0,0,0,0,0,0,0,1,7.8,7.8,7.8,0
905,2021,8,29,Dalvin Cook (MIN) ,18,78,4.3,19,0,0,0,2,0,0,0,0,1,7.8,7.8,7.8,0
1182,2021,13,26,Rhamondre Stevenson (NE) ,24,78,3.3,11,0,0,0,0,0,0,0,0,1,7.8,7.8,7.8,0
2361,2020,17,15,Ronald Jones II (KC) ,12,78,6.5,16,0,1,0,0,0,0,0,0,1,13.8,13.8,13.8,0
903,2021,8,27,Justin Jackson (DET) ,3,79,26.3,75,4,0,0,0,0,0,0,0,1,7.9,7.9,7.9,0
1232,2021,14,26,Sony Michel (LAC) ,20,79,4,19,0,0,0,1,0,0,0,0,1,7.9,7.9,7.9,0
1833,2020,7,24,Phillip Lindsay (IND) ,9,79,8.8,20,1,0,0,0,0,0,0,0,1,7.9,7.9,7.9,0
2319,2020,16,30,Melvin Gordon III (DEN) ,16,79,4.9,17,0,0,0,0,0,0,0,0,1,7.9,7.9,7.9,0
892,2021,8,14,Damien Harris (NE) ,23,80,3.5,10,0,1,0,1,0,0,0,0,1,14,14,14,0
14,2022,9,17,Jamaal Williams (DET) ,24,81,3.4,14,0,0,0,0,0,0,0,0,1,8.1,8.1,8.1,2
1864,2020,8,2,Zack Moss (IND) ,14,81,5.8,21,1,2,0,1,0,0,0,0,1,20.1,20.1,20.1,0
2262,2020,15,33,Zack Moss (IND) ,13,81,6.2,26,1,0,0,0,0,0,0,0,1,8.1,8.1,8.1,0
441,2022,1,26,Derrick Henry (TEN) ,21,82,3.9,18,0,0,0,1,0,0,0,0,1,8.2,8.2,8.2,0
2036,2020,11,27,Phillip Lindsay (IND) ,16,82,5.1,20,2,0,0,0,0,0,0,0,1,8.2,8.2,8.2,0
1015,2021,10,28,Jordan Howard (NO) ,12,83,6.9,25,1,0,0,0,0,0,0,0,1,8.3,8.3,8.3,0
627,2021,3,28,Nick Chubb (CLE) ,22,84,3.8,14,0,0,0,0,0,0,0,0,1,8.4,8.4,8.4,0
1556,2020,2,31,Derrick Henry (TEN) ,25,84,3.4,14,0,0,0,2,0,0,0,0,1,8.4,8.4,8.4,0
2015,2020,11,4,Melvin Gordon III (DEN) ,15,84,5.6,25,2,2,0,0,0,0,0,1,1,18.4,18.4,18.4,0
2076,2020,12,11,Cam Akers (LAR) ,9,84,9.3,61,4,1,0,0,0,0,0,0,1,14.4,14.4,14.4,0
490,2021,1,13,Mark Ingram II (NO) ,26,85,3.3,11,0,1,0,1,0,0,0,0,1,14.5,14.5,14.5,0
1433,2021,18,26,Elijah Mitchell (SF) ,21,85,4,13,0,0,0,0,0,0,0,0,1,8.5,8.5,8.5,0
208,2022,5,18,Tony Pollard (DAL) ,8,86,10.8,57,4,1,0,0,0,0,0,0,1,14.6,14.6,14.6,0
2259,2020,15,30,Matt Breida (NYG) ,12,86,7.2,24,1,0,0,0,0,0,0,0,1,8.6,8.6,8.6,0
1870,2020,8,10,Gus Edwards (BAL) ,16,87,5.4,25,2,1,0,1,0,0,0,0,1,14.7,14.7,14.7,0
207,2022,5,17,Kenneth Walker III (SEA) ,8,88,11,69,4,1,0,0,0,0,0,0,1,14.8,14.8,14.8,0
2353,2020,17,6,Josh Jacobs (LV) ,15,89,5.9,28,1,2,0,1,0,0,0,0,1,20.9,20.9,20.9,0
2084,2020,12,21,Aaron Jones (GB) ,17,90,5.3,16,0,0,1,2,0,0,0,0,1,9,9.5,10,0
1011,2021,10,24,Elijah Mitchell (SF) ,27,91,3.4,17,0,0,0,0,0,0,0,0,1,9.1,9.1,9.1,0
7,2022,9,8,Miles Sanders (PHI) ,17,93,5.5,25,1,1,0,0,0,0,0,0,1,15.3,15.3,15.3,0
1062,2021,11,21,Miles Sanders (PHI) ,16,94,5.9,25,1,0,0,1,0,0,0,1,1,7.4,7.4,7.4,0
1061,2021,11,20,Antonio Gibson (WAS) ,19,95,5,20,1,0,0,0,0,0,0,1,1,7.5,7.5,7.5,0
1673,2020,4,24,D'Ernest Johnson (CLE) ,13,95,7.3,28,1,0,0,0,0,0,0,0,1,9.5,9.5,9.5,0
316,2022,3,12,Dalvin Cook (MIN) ,17,96,5.6,13,0,1,0,0,0,0,0,1,1,13.6,13.6,13.6,0
2315,2020,16,25,Derrick Henry (TEN) ,23,98,4.3,10,0,0,0,0,0,0,0,0,1,9.8,9.8,9.8,0
52,2022,8,10,Khalil Herbert (CHI) ,16,99,6.2,36,2,1,0,0,0,0,0,0,1,15.9,15.9,15.9,0
1916,2020,9,3,James Robinson (NYJ) ,25,99,4,12,0,1,0,2,0,0,0,0,1,15.9,15.9,15.9,0
1670,2020,4,21,Damien Harris (NE) ,17,100,5.9,41,3,0,0,0,0,0,0,0,1,10,10,10,0
1774,2020,6,15,Phillip Lindsay (IND) ,23,101,4.4,20,1,0,0,0,0,0,0,0,1,10.1,10.1,10.1,0
2138,2020,13,20,Gus Edwards (BAL) ,7,101,14.4,36,4,0,0,0,0,0,0,0,1,10.1,10.1,10.1,0
1384,2021,17,25,Saquon Barkley (NYG) ,21,102,4.9,10,0,0,0,1,0,0,0,0,1,10.2,10.2,10.2,0
1869,2020,8,9,Damien Harris (NE) ,16,102,6.4,22,1,1,0,0,0,0,0,0,1,16.2,16.2,16.2,0
1310,2021,16,1,Damien Harris (NE) ,18,103,5.7,31,2,3,0,0,0,0,0,0,1,28.3,28.3,28.3,0
486,2021,1,8,Elijah Mitchell (SF) ,19,104,5.5,38,2,1,0,0,0,0,0,0,1,16.4,16.4,16.4,0
322,2022,3,18,Tony Pollard (DAL) ,13,105,8.1,46,3,0,0,1,0,0,0,0,1,10.5,10.5,10.5,0
663,2021,4,5,David Montgomery (CHI) ,23,106,4.6,24,1,2,0,0,0,0,0,0,1,22.6,22.6,22.6,0
835,2021,7,5,Elijah Mitchell (SF) ,18,107,5.9,20,1,1,0,0,0,0,0,0,1,16.7,16.7,16.7,0
1367,2021,17,5,Rhamondre Stevenson (NE) ,19,107,5.6,15,0,2,0,0,0,0,0,0,1,22.7,22.7,22.7,0
1327,2021,16,20,Jonathan Taylor (IND) ,27,108,4,43,3,0,0,2,0,0,0,0,1,10.8,10.8,10.8,0
2359,2020,17,13,Nick Chubb (CLE) ,14,108,7.7,47,3,1,0,1,0,0,0,0,1,16.8,16.8,16.8,0
1365,2021,17,3,Devin Singletary (BUF) ,23,110,4.8,20,2,2,0,1,0,0,0,0,1,23,23,23,0
948,2021,9,14,Javonte Williams (DEN) ,17,111,6.5,30,3,0,0,0,0,0,0,0,1,11.1,11.1,11.1,0
1166,2021,13,7,Damien Harris (NE) ,10,111,11.1,64,5,1,0,0,0,0,0,0,1,17.1,17.1,17.1,0
1214,2021,14,4,Melvin Gordon III (DEN) ,24,111,4.6,16,0,2,0,0,0,0,0,0,1,23.1,23.1,23.1,0
1867,2020,8,7,Derrick Henry (TEN) ,18,112,6.2,21,1,1,0,1,0,0,0,0,1,17.2,17.2,17.2,0
311,2022,3,7,Nick Chubb (CLE) ,23,113,4.9,36,2,1,0,1,0,0,0,0,1,17.3,17.3,17.3,0
1484,2020,1,21,Benny Snell Jr. (PIT) ,19,113,5.9,30,3,0,0,1,0,0,0,0,1,11.3,11.3,11.3,0
2026,2020,11,15,Nick Chubb (CLE) ,20,114,5.7,54,4,0,0,0,0,0,0,0,1,11.4,11.4,11.4,0
3,2022,9,4,Derrick Henry (TEN) ,17,115,6.8,56,5,2,0,0,0,0,0,0,1,23.5,23.5,23.5,0
47,2022,8,5,D'Onta Foreman (CAR) ,26,118,4.5,16,0,3,0,1,0,0,0,0,1,29.8,29.8,29.8,2
677,2021,4,21,Alvin Kamara (NO) ,26,120,4.6,10,0,0,0,0,0,0,0,0,1,12,12,12,0
1976,2020,10,15,Damien Harris (NE) ,22,121,5.5,25,1,0,0,0,0,0,0,0,1,12.1,12.1,12.1,0
1046,2021,11,3,Joe Mixon (CIN) ,30,123,4.1,20,1,2,0,0,0,0,0,0,1,24.3,24.3,24.3,0
1969,2020,10,8,Nick Chubb (CLE) ,19,126,6.6,59,4,1,0,1,0,0,0,0,1,18.6,18.6,18.6,0
1212,2021,14,2,Rashaad Penny (SEA) ,16,119,8.6,47,5,2,1,1,1,1,0,0,1,25.8,26.3,26.8,0
2349,2020,17,1,Jonathan Taylor (IND) ,30,3,8.4,56,9,2,1,2,1,1,0,0,1,37.4,37.9,38.4,0
2347,2020,16,80,Salvon Ahmed (MIA) ,6,2,0.3,5,0,0,1,1,1,1,0,0,1,0.3,0.8,1.3,0
2118,2020,12,75,Ty Johnson (NYJ) ,2,3,1.5,2,0,0,1,2,1,1,0,0,1,0.4,0.9,1.4,0
187,2022,6,62,Chuba Hubbard (CAR) ,2,6,3,4,0,0,1,1,1,1,0,0,1,0.7,1.2,1.7,0
1647,2020,3,79,Darrel Williams (ARI) ,2,6,3,6,0,0,2,2,1,0.5,0,0,1,0.7,1.7,2.7,0
243,2022,5,67,Damien Harris (NE) ,4,11,2.8,9,0,0,1,1,1,1,0,0,1,1.2,1.7,2.2,0
1460,2021,18,69,Cordarrelle Patterson (ATL) ,4,11,2.8,4,0,0,1,1,1,1,0,0,1,1.2,1.7,2.2,0
1407,2021,17,62,D'Ernest Johnson (CLE) ,5,13,2.6,4,0,0,1,3,1,1,0,0,1,1.4,1.9,2.4,0
2005,2020,10,59,J.K. Dobbins (BAL) ,5,13,2.6,4,0,0,1,2,1,1,0,0,1,1.4,1.9,2.4,0
1437,2021,18,33,Le'Veon Bell (FA) ,3,14,4.7,7,0,0,1,1,1,1,1,0,1,7.5,8,8.5,0
1250,2021,14,50,Alex Collins (FA) ,7,16,2.3,7,0,0,1,1,1,1,0,0,1,1.7,2.2,2.7,0
1700,2020,4,60,J.K. Dobbins (BAL) ,5,16,3.2,14,0,0,1,2,1,1,0,0,1,1.7,2.2,2.7,0
477,2022,1,71,Mark Ingram II (NO) ,4,22,5.5,7,0,0,1,1,1,1,0,1,1,0.3,0.8,1.3,0
241,2022,5,63,Kenyan Drake (BAL) ,4,26,6.5,14,0,0,1,1,1,1,0,0,1,2.7,3.2,3.7,0
521,2021,1,51,Saquon Barkley (NYG) ,10,26,2.6,5,0,0,1,3,1,1,0,0,1,2.7,3.2,3.7,0
925,2021,8,55,Tony Pollard (DAL) ,7,26,3.7,7,0,0,1,1,1,1,0,0,1,2.7,3.2,3.7,0
1403,2021,17,50,Ronald Jones II (KC) ,10,26,2.6,7,0,0,1,1,1,1,0,0,1,2.7,3.2,3.7,0
923,2021,8,53,Devin Singletary (BUF) ,7,28,4,13,0,0,1,1,1,1,0,0,1,2.9,3.4,3.9,0
1797,2020,6,44,J.K. Dobbins (BAL) ,9,28,3.1,16,0,0,2,4,1,0.5,0,0,1,2.9,3.9,4.9,0
2159,2020,13,47,Mark Ingram II (NO) ,6,28,4.7,7,0,0,1,1,1,1,0,0,1,2.9,3.4,3.9,0
1855,2020,7,47,Adrian Peterson (FA) ,11,29,2.6,7,0,0,1,1,1,1,0,0,1,3,3.5,4,0
699,2021,4,50,Chris Carson (FA) ,13,30,2.3,8,0,0,1,1,1,1,0,0,1,3.1,3.6,4.1,0
1081,2021,11,42,Latavius Murray (DEN) ,10,32,3.2,8,0,0,2,2,1,0.5,0,0,1,3.3,4.3,5.3,0
2212,2020,14,45,Peyton Barber (FA) ,12,37,3.1,9,0,0,2,3,1,0.5,0,0,1,3.8,4.8,5.8,0
1294,2021,15,48,Chuba Hubbard (CAR) ,8,40,5,21,1,0,1,1,1,1,0,0,1,4.1,4.6,5.1,0
296,2022,4,57,Jonathan Taylor (IND) ,20,42,2.1,11,0,0,1,3,1,1,0,1,1,2.3,2.8,3.3,0
2153,2020,13,39,Raheem Mostert (MIA) ,9,42,4.7,16,0,0,1,1,1,1,0,0,1,4.3,4.8,5.3,0
1021,2021,10,37,Javonte Williams (DEN) ,8,48,6,20,1,0,2,3,1,0.5,0,0,1,4.9,5.9,6.9,0
2150,2020,13,36,Devontae Booker (FA) ,16,50,3.1,14,0,0,1,2,1,1,0,0,1,5.1,5.6,6.1,0
61,2022,8,20,Kenneth Walker III (SEA) ,18,51,2.8,16,0,1,1,2,1,1,0,0,1,11.2,11.7,12.2,0
165,2022,6,28,James Robinson (NYJ) ,12,54,4.5,14,0,0,1,1,1,1,0,0,1,5.5,6,6.5,0
1482,2020,1,19,Todd Gurley II (FA) ,14,56,4,15,0,1,2,5,1,0.5,0,0,1,11.7,12.7,13.7,0
1941,2020,9,37,Tony Pollard (DAL) ,9,57,6.3,20,2,0,1,2,1,1,0,0,1,5.8,6.3,6.8,0
1224,2021,14,15,Cordarrelle Patterson (ATL) ,16,58,3.6,11,0,1,2,5,1,0.5,0,0,1,11.9,12.9,13.9,0
846,2021,7,18,Cordarrelle Patterson (ATL) ,14,60,4.3,13,0,1,2,5,1,0.5,0,0,1,12.1,13.1,14.1,0
152,2022,6,12,Miles Sanders (PHI) ,18,71,3.9,13,0,1,1,1,1,1,0,0,1,13.2,13.7,14.2,0
1388,2021,17,29,Devonta Freeman (FA) ,14,76,5.4,32,2,0,1,1,1,1,0,0,1,7.7,8.2,8.7,0
1765,2020,6,6,James Conner (ARI) ,20,101,5.1,14,0,1,1,1,1,1,0,0,1,16.2,16.7,17.2,0
668,2021,4,10,Clyde Edwards-Helaire (KC) ,14,102,7.3,17,0,0,2,3,1,0.5,1,0,1,16.3,17.3,18.3,0
255,2022,4,5,Jamaal Williams (DET) ,19,108,5.7,51,4,2,1,3,1,1,0,0,1,22.9,23.4,23.9,0
431,2022,1,13,Nick Chubb (CLE) ,22,115,6.4,25,2,0,1,1,2,2,0,0,1,14.3,14.8,15.3,0
93,2022,8,72,Mark Ingram II (NO) ,0,0,0,0,0,0,1,1,2,2,0,0,1,0.2,0.7,1.2,0
94,2022,8,73,Rex Burkhead (HOU) ,0,0,0,0,0,0,1,1,2,2,0,0,1,0.2,0.7,1.2,0
478,2022,1,73,Mike Boone (DEN) ,0,0,0,0,0,0,1,1,2,2,0,0,1,0.2,0.7,1.2,0
1209,2021,13,67,Peyton Barber (FA) ,0,0,0,0,0,0,1,1,2,2,0,0,1,0.2,0.7,1.2,0
2119,2020,12,77,Samaje Perine (CIN) ,0,0,0,0,0,0,1,1,2,2,0,0,1,0.2,0.7,1.2,0
533,2021,1,71,Justin Jackson (DET) ,1,5,5,5,0,0,1,1,2,2,0,0,1,0.7,1.2,1.7,0
1157,2021,12,73,Jeff Wilson Jr. (MIA) ,2,5,2.5,4,0,0,1,1,2,2,0,0,1,0.7,1.2,1.7,0
301,2022,4,68,Tony Pollard (DAL) ,8,6,0.8,9,0,0,1,3,2,2,0,0,1,0.8,1.3,1.8,0
137,2022,7,56,Damien Harris (NE) ,3,8,2.7,4,0,0,1,2,2,2,0,0,1,1,1.5,2,0
598,2021,2,70,Devontae Booker (FA) ,2,9,4.5,7,0,0,1,1,2,2,0,0,1,1.1,1.6,2.1,0
1806,2020,6,60,Duke Johnson Jr. (BUF) ,4,9,2.3,10,0,0,1,2,2,2,0,0,1,1.1,1.6,2.1,0
1701,2020,4,63,Austin Ekeler (LAC) ,2,12,6,10,0,0,1,1,2,2,0,0,1,1.4,1.9,2.4,0
1092,2021,11,56,Tevin Coleman (SF) ,5,16,3.2,5,0,0,1,1,2,2,0,0,1,1.8,2.3,2.8,0
1093,2021,11,57,Boston Scott (PHI) ,6,16,2.7,5,0,0,2,2,2,1,0,0,1,1.8,2.8,3.8,0
1304,2021,15,59,Michael Carter (NYJ) ,8,18,2.3,6,0,0,1,2,2,2,0,0,1,2,2.5,3,0
407,2022,2,57,Boston Scott (PHI) ,4,19,4.8,16,0,0,1,1,2,2,0,0,1,2.1,2.6,3.1,0
408,2022,2,58,Devin Singletary (BUF) ,6,19,3.2,16,0,0,2,3,2,1,0,0,1,2.1,3.1,4.1,0
2053,2020,11,50,Samaje Perine (CIN) ,5,19,3.8,8,0,0,1,2,2,2,0,0,1,2.1,2.6,3.1,0
1301,2021,15,56,Devonta Freeman (FA) ,6,22,3.7,7,0,0,1,1,2,2,0,0,1,2.4,2.9,3.4,0
469,2022,1,57,Rhamondre Stevenson (NE) ,8,25,3.1,12,0,0,2,2,2,1,0,0,1,2.7,3.7,4.7,0
429,2022,1,11,Jamaal Williams (DET) ,11,28,2.5,7,0,2,1,2,2,2,0,0,1,15,15.5,16,0
1400,2021,17,46,Javonte Williams (DEN) ,14,30,2.1,7,0,0,1,1,2,2,0,0,1,3.2,3.7,4.2,0
1747,2020,5,44,Tony Pollard (DAL) ,6,30,5,13,0,0,2,3,2,1,0,0,1,3.2,4.2,5.2,0
1882,2020,8,23,Samaje Perine (CIN) ,10,32,3.2,16,0,1,1,1,2,2,0,0,1,9.4,9.9,10.4,0
2214,2020,14,48,Devin Singletary (BUF) ,7,32,4.6,14,0,0,1,1,2,2,0,0,1,3.4,3.9,4.4,0
745,2021,5,30,Joe Mixon (CIN) ,10,33,3.3,10,0,1,1,1,2,2,0,0,1,9.5,10,10.5,0
1450,2021,18,53,Rhamondre Stevenson (NE) ,4,34,8.5,12,0,0,1,2,2,2,0,0,1,3.6,4.1,4.6,0
1832,2020,7,22,Ronald Jones II (KC) ,13,34,2.6,13,0,1,1,2,2,2,0,0,1,9.6,10.1,10.6,0
1575,2020,2,55,Matt Breida (NYG) ,7,37,5.3,11,0,0,1,2,2,2,0,0,1,3.9,4.4,4.9,0
2101,2020,12,44,Clyde Edwards-Helaire (KC) ,11,37,3.4,10,0,0,1,1,2,2,0,0,1,3.9,4.4,4.9,0
326,2022,3,22,Antonio Gibson (WAS) ,12,38,3.2,11,0,1,1,1,2,2,0,0,1,10,10.5,11,0
1192,2021,13,37,Ezekiel Elliott (DAL) ,13,45,3.5,10,0,0,2,3,2,1,0,0,1,4.7,5.7,6.7,0
573,2021,2,39,Jonathan Taylor (IND) ,15,51,3.4,13,0,0,1,1,2,2,0,0,1,5.3,5.8,6.3,0
575,2021,2,41,Kareem Hunt (CLE) ,13,51,3.9,13,0,0,1,1,2,2,0,0,1,5.3,5.8,6.3,0
1922,2020,9,10,Todd Gurley II (FA) ,19,53,2.8,13,0,1,2,2,2,1,0,0,1,11.5,12.5,13.5,0
336,2022,3,33,Javonte Williams (DEN) ,15,58,3.9,16,0,0,3,5,2,0.7,0,0,1,6,7.5,9,0
1284,2021,15,35,Joe Mixon (CIN) ,17,58,3.4,12,0,0,1,1,2,2,0,0,1,6,6.5,7,0
1441,2021,18,39,Nick Chubb (CLE) ,9,58,6.4,35,2,0,1,1,2,2,0,0,1,6,6.5,7,0
2269,2020,15,41,Mike Davis (BAL) ,14,59,4.2,12,0,0,2,2,2,1,0,0,1,6.1,7.1,8.1,0
1724,2020,5,19,Kenyan Drake (BAL) ,18,60,3.3,10,0,1,1,1,2,2,0,0,1,12.2,12.7,13.2,0
555,2021,2,17,Damien Harris (NE) ,16,62,3.9,26,1,1,1,1,2,2,0,0,1,12.4,12.9,13.4,0
1069,2021,11,28,Michael Carter (NYJ) ,9,63,7,39,2,0,1,1,2,2,0,0,1,6.5,7,7.5,0
565,2021,2,29,Joe Mixon (CIN) ,20,69,3.5,10,0,0,1,2,2,2,0,0,1,7.1,7.6,8.1,0
1504,2020,1,44,Joe Mixon (CIN) ,19,69,3.6,14,0,0,1,2,2,2,0,1,1,5.1,5.6,6.1,0
317,2022,3,13,Ezekiel Elliott (DAL) ,15,73,4.9,27,1,1,1,1,2,2,0,0,1,13.5,14,14.5,0
619,2021,3,18,Chris Carson (FA) ,12,80,6.7,30,2,1,2,2,2,1,0,0,1,14.2,15.2,16.2,0
1605,2020,3,13,Todd Gurley II (FA) ,14,80,5.7,16,0,1,1,2,2,2,0,0,1,14.2,14.7,15.2,0
1967,2020,10,6,Devontae Booker (FA) ,16,81,5.1,23,1,2,1,1,2,2,0,0,1,20.3,20.8,21.3,0
1272,2021,15,20,Dalvin Cook (MIN) ,28,89,3.2,10,0,0,2,3,2,1,0,0,1,9.1,10.1,11.1,0
1260,2021,15,5,Nick Chubb (CLE) ,23,91,4,24,1,1,1,1,2,2,0,0,1,15.3,15.8,16.3,0
256,2022,4,6,Clyde Edwards-Helaire (KC) ,19,92,4.8,20,1,1,1,2,2,2,1,0,1,21.4,21.9,22.4,0
1598,2020,3,6,Nick Chubb (CLE) ,19,108,5.7,25,2,2,1,1,2,2,0,0,1,23,23.5,24,0
721,2021,5,5,Ezekiel Elliott (DAL) ,21,110,5.2,15,0,1,2,3,2,1,1,0,1,23.2,24.2,25.2,0
2068,2020,12,3,Latavius Murray (DEN) ,19,124,6.5,36,2,2,1,1,2,2,0,0,1,24.6,25.1,25.6,0
784,2021,6,7,Dalvin Cook (MIN) ,29,116,4.8,23,1,1,2,2,3,1.5,0,0,1,20.3,21.3,22.3,0
303,2022,4,71,Nyheim Hines (BUF) ,1,0,0,0,0,0,2,2,3,1.5,0,0,1,0.3,1.3,2.3,0
829,2021,6,66,Mike Boone (DEN) ,0,0,0,0,0,0,1,1,3,3,0,0,1,0.3,0.8,1.3,0
988,2021,9,71,Alexander Mattison (MIN) ,4,0,0,2,0,0,1,1,3,3,0,0,1,0.3,0.8,1.3,0
1099,2021,11,75,Giovani Bernard (TB) ,0,0,0,0,0,0,1,1,3,3,0,0,1,0.3,0.8,1.3,0
1960,2020,9,73,Darrel Williams (ARI) ,0,0,0,0,0,0,1,1,3,3,0,0,1,0.3,0.8,1.3,0
2174,2020,13,76,Joshua Kelley (LAC) ,0,0,0,0,0,0,2,2,3,1.5,0,0,1,0.3,1.3,2.3,0
189,2022,6,66,Mike Boone (DEN) ,1,1,1,1,0,0,1,4,3,3,0,0,1,0.4,0.9,1.4,0
1860,2020,7,64,Samaje Perine (CIN) ,1,3,3,3,0,0,1,1,3,3,0,0,1,0.6,1.1,1.6,0
1588,2020,2,79,Tony Pollard (DAL) ,2,6,3,3,0,0,1,1,3,3,0,0,1,0.9,1.4,1.9,0
1584,2020,2,73,Alexander Mattison (MIN) ,3,13,4.3,11,0,0,1,2,3,3,0,0,1,1.6,2.1,2.6,0
1643,2020,3,66,Jamaal Williams (DET) ,6,14,2.3,6,0,0,1,1,3,3,0,0,1,1.7,2.2,2.7,0
2054,2020,11,51,Devontae Booker (FA) ,5,16,3.2,6,0,0,1,1,3,3,0,0,1,1.9,2.4,2.9,0
1335,2021,16,29,Devonta Freeman (FA) ,6,17,2.8,8,0,1,2,2,3,1.5,0,0,1,8,9,10,0
1454,2021,18,63,Alexander Mattison (MIN) ,5,18,3.6,9,0,0,1,1,3,3,0,0,1,2.1,2.6,3.1,0
406,2022,2,55,Joshua Kelley (LAC) ,4,22,5.5,8,0,0,1,2,3,3,0,0,1,2.5,3,3.5,0
440,2022,1,25,Najee Harris (PIT) ,10,23,2.3,11,0,0,2,2,3,1.5,1,0,1,8.6,9.6,10.6,0
1298,2021,15,53,David Johnson (FA) ,6,24,4,6,0,0,1,1,3,3,0,0,1,2.7,3.2,3.7,0
2048,2020,11,44,Todd Gurley II (FA) ,8,26,3.3,7,0,0,1,2,3,3,0,0,1,2.9,3.4,3.9,0
958,2021,9,25,Damien Harris (NE) ,15,30,2,8,0,1,1,1,3,3,0,0,1,9.3,9.8,10.3,0
1671,2020,4,22,Mark Ingram II (NO) ,8,34,4.3,8,0,1,1,1,3,3,0,0,1,9.7,10.2,10.7,0
400,2022,2,45,Khalil Herbert (CHI) ,4,38,9.5,27,1,0,1,1,3,3,0,0,1,4.1,4.6,5.1,0
1943,2020,9,39,Latavius Murray (DEN) ,10,39,3.9,17,0,0,2,2,3,1.5,0,0,1,4.2,5.2,6.2,0
1346,2021,16,41,Miles Sanders (PHI) ,7,45,6.4,15,0,0,1,3,3,3,0,0,1,4.8,5.3,5.8,0
1288,2021,15,41,Latavius Murray (DEN) ,7,48,6.9,16,0,0,1,3,3,3,0,0,1,5.1,5.6,6.1,0
1107,2021,12,7,Myles Gaskin (MIA) ,16,49,3.1,8,0,2,2,2,3,1.5,0,0,1,17.2,18.2,19.2,0
21,2022,9,25,Samaje Perine (CIN) ,6,51,8.5,29,1,0,1,2,3,3,0,0,1,5.4,5.9,6.4,0
1777,2020,6,18,Mike Davis (BAL) ,18,52,2.9,12,0,1,2,3,3,1.5,0,1,1,9.5,10.5,11.5,0
969,2021,9,39,Darrell Henderson Jr. (LAR) ,11,55,5,14,0,0,3,4,3,1,0,0,1,5.8,7.3,8.8,0
401,2022,2,46,Mark Ingram II (NO) ,10,58,5.8,12,0,0,2,2,3,1.5,0,1,1,4.1,5.1,6.1,0
370,2022,2,9,Darrel Williams (ARI) ,8,59,7.4,30,2,1,2,3,3,1.5,0,0,1,12.2,13.2,14.2,0
1611,2020,3,19,Jonathan Taylor (IND) ,13,59,4.5,16,0,1,1,1,3,3,0,0,1,12.2,12.7,13.2,0
69,2022,8,32,Raheem Mostert (MIA) ,14,64,4.6,13,0,0,1,1,3,3,0,0,1,6.7,7.2,7.7,0
1920,2020,9,8,Josh Jacobs (LV) ,14,65,4.6,14,0,1,1,1,3,3,0,0,1,12.8,13.3,13.8,0
334,2022,3,31,Rashaad Penny (SEA) ,14,66,4.7,14,0,0,1,1,3,3,0,0,1,6.9,7.4,7.9,0
426,2022,1,7,James Robinson (NYJ) ,11,66,6,22,1,1,1,2,3,3,1,0,1,18.9,19.4,19.9,0
1128,2021,12,29,Tevin Coleman (SF) ,16,67,4.2,19,0,0,2,3,3,1.5,0,0,1,7,8,9,0
1173,2021,13,16,Tony Pollard (DAL) ,7,71,10.1,58,4,1,2,4,3,1.5,0,0,1,13.4,14.4,15.4,0
1435,2021,18,29,Dalvin Cook (MIN) ,14,79,5.6,29,2,0,1,1,3,3,0,0,1,8.2,8.7,9.2,0
1871,2020,8,11,Phillip Lindsay (IND) ,6,83,13.8,55,5,1,1,3,3,3,0,0,1,14.6,15.1,15.6,0
1490,2020,1,27,Austin Ekeler (LAC) ,19,84,4.4,13,0,0,1,1,3,3,0,0,1,8.7,9.2,9.7,0
1432,2021,18,24,Ezekiel Elliott (DAL) ,18,87,4.8,26,1,0,1,3,3,3,0,0,1,9,9.5,10,0
880,2021,8,2,Darrell Henderson Jr. (LAR) ,14,90,6.4,19,0,1,1,2,3,3,1,0,1,21.3,21.8,22.3,0
545,2021,2,6,Nick Chubb (CLE) ,11,95,8.6,26,2,1,1,1,3,3,0,0,1,15.8,16.3,16.8,0
48,2022,8,6,Nick Chubb (CLE) ,23,101,4.4,21,1,2,1,1,3,3,0,0,1,22.4,22.9,23.4,2
836,2021,7,6,Jonathan Taylor (IND) ,18,107,5.9,33,2,1,3,3,3,1,0,1,1,15,16.5,18,0
1122,2021,12,23,D'Onta Foreman (CAR) ,19,109,5.7,30,2,0,1,1,3,3,0,1,1,9.2,9.7,10.2,0
1979,2020,10,18,James Robinson (NYJ) ,23,109,4.7,20,1,0,2,5,3,1.5,0,0,1,11.2,12.2,13.2,0
1316,2021,16,7,Sony Michel (LAC) ,27,125,4.9,16,0,1,1,4,4,4,0,0,1,19.5,20,20.5,0
2063,2020,11,69,Joshua Kelley (LAC) ,4,2,-0.5,4,0,0,2,2,4,2,0,0,1,0.2,1.2,2.2,0
418,2022,2,79,Ty Johnson (NYJ) ,0,0,0,0,0,0,1,3,4,4,0,0,1,0.4,0.9,1.4,0
