,YEAR,WEEK,RANK,PLAYER,REC,TGT,REC YDS,Y/R,LG,20+,REC TD,ATT,RUSH YDS,RUSH TD,FL,G,Zero PPR,Half PPR,One PPR
1170,2020,12,5,Rob Gronkowski (FA) ,6,7,106,17.7,48,4,0,0,0,0,0,1,10.6,13.6,16.6
156,2022,6,4,Travis Kelce (KC) ,8,10,108,13.5,25,2,0,1,4,0,0,1,11.2,15.2,19.2
969,2020,5,1,Travis Kelce (KC) ,8,12,108,13.5,32,3,1,0,0,0,0,1,16.8,20.8,24.8
292,2021,2,1,Travis Kelce (KC) ,7,8,109,15.6,46,3,1,0,0,0,0,1,16.9,20.4,23.9
331,2021,3,4,Mark Andrews (BAL) ,5,7,109,21.8,41,5,0,0,0,0,0,1,10.9,13.4,15.9
998,2020,6,3,George Kittle (SF) ,7,10,109,15.6,44,3,1,0,0,0,0,1,16.9,20.4,23.9
1051,2020,8,1,Travis Kelce (KC) ,8,12,109,13.6,25,2,1,0,0,0,0,1,16.9,20.9,24.9
878,2020,2,10,Mo Alie-Cox (IND) ,5,6,111,22.2,33,4,0,0,0,0,0,1,11.1,13.6,16.1
1306,2020,16,5,Darren Waller (LV) ,5,6,112,22.4,33,4,0,0,0,0,0,1,11.2,13.7,16.2
997,2020,6,2,Anthony Firkser (ATL) ,8,9,113,14.1,45,4,1,0,0,0,0,1,17.3,21.3,25.3
436,2021,6,4,Mike Gesicki (MIA) ,8,9,115,14.4,32,5,0,0,0,0,0,1,11.5,15.5,19.5
683,2021,14,2,Mark Andrews (BAL) ,11,11,115,10.5,32,3,1,0,0,0,0,1,17.5,23,28.5
774,2021,17,2,Rob Gronkowski (FA) ,7,10,115,16.4,24,3,0,0,0,0,0,1,11.5,15,18.5
588,2021,11,4,Darren Waller (LV) ,7,8,116,16.6,31,5,0,0,0,0,0,1,11.6,15.1,18.6
401,2021,5,4,Dawson Knox (BUF) ,3,4,117,39,53,8,1,0,0,0,0,1,17.7,19.2,20.7
1341,2020,17,1,Darren Waller (LV) ,9,10,117,13,28,2,1,0,0,0,1,1,15.7,20.2,24.7
400,2021,5,3,Kyle Pitts (ATL) ,9,10,119,13.2,39,3,1,0,0,0,0,1,17.9,22.4,26.9
559,2021,10,4,Travis Kelce (KC) ,8,10,119,14.9,30,2,0,0,0,0,0,1,11.9,15.9,19.9
0,2022,1,1,Travis Kelce (KC) ,8,9,121,15.1,35,3,1,0,0,0,0,1,18.1,22.1,26.1
623,2021,12,5,Rob Gronkowski (FA) ,7,9,123,17.6,32,4,0,0,0,0,0,1,12.3,15.8,19.3
744,2021,16,1,Mark Andrews (BAL) ,8,10,125,15.6,28,2,1,0,0,0,0,1,18.5,22.5,26.5
1139,2020,11,1,Travis Kelce (KC) ,8,10,127,15.9,22,2,1,0,0,0,0,1,18.7,22.7,26.7
